telugu_s02_668|slash the gold cloth into fine ribbons|slash the gold cloth into fine ribbons|{"speaker": "telugu_s02", "accent": "telugu"}
malayalam_s02_666|slash the gold cloth into fine ribbons|slash the gold cloth into fine ribbons|{"speaker": "malayalam_s02", "accent": "malayalam"}
malayalam_s01_541|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "malayalam_s01", "accent": "malayalam"}
australian_s01_185|acid burns holes in wool cloth|acid burns holes in wool cloth|{"speaker": "australian_s01", "accent": "australian"}
american_s07_381|tend the sheep while the dog wanders|tend the sheep while the dog wanders|{"speaker": "american_s07", "accent": "american"}
malayalam_s02_334|hemp is a weed found in parts of the tropics|hemp is a weed found in parts of the tropics|{"speaker": "malayalam_s02", "accent": "malayalam"}
australian_s01_121|hemp is a weed found in parts of the tropics|hemp is a weed found in parts of the tropics|{"speaker": "australian_s01", "accent": "australian"}
odiya_s01_286|ten pins were set in order|ten pins were set in order|{"speaker": "odiya_s01", "accent": "odiya"}
telugu_s01_285|ten pins were set in order|ten pins were set in order|{"speaker": "telugu_s01", "accent": "telugu"}
malayalam_s02_286|ten pins were set in order|ten pins were set in order|{"speaker": "malayalam_s02", "accent": "malayalam"}
odiya_s01_296|ten pins were set in order|ten pins were set in order|{"speaker": "odiya_s01", "accent": "odiya"}
indian_s02_653|tear a thin sheet from the yellow pad|tear a thin sheet from the yellow pad|{"speaker": "indian_s02", "accent": "indian"}
australian_s02_381|tend the sheep while the dog wanders|tend the sheep while the dog wanders|{"speaker": "australian_s02", "accent": "australian"}
indian_s01_381|tend the sheep while the dog wanders|tend the sheep while the dog wanders|{"speaker": "indian_s01", "accent": "indian"}
bangla_s01_287|ten pins were set in order|ten pins were set in order|{"speaker": "bangla_s01", "accent": "bangla"}
welsh_s01_257|the bank pressed for payment of the debt|the bank pressed for payment of the debt|{"speaker": "welsh_s01", "accent": "welsh"}
malayalam_s02_224|a tame squirrel makes a nice pet|a tame squirrel makes a nice pet|{"speaker": "malayalam_s02", "accent": "malayalam"}
american_s04_078|a tame squirrel makes a nice pet|a tame squirrel makes a nice pet|{"speaker": "american_s04", "accent": "american"}
malayalam_s02_130|a king ruled the state in the early days|a king ruled the state in the early days|{"speaker": "malayalam_s02", "accent": "malayalam"}
american_s01_471|to have is better than to wait and hope|to have is better than to wait and hope|{"speaker": "american_s01", "accent": "american"}
welsh_s01_210|the club rented the rink for the fifth night|the club rented the rink for the fifth night|{"speaker": "welsh_s01", "accent": "welsh"}
american_s02_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s02", "accent": "american"}
american_s03_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s03", "accent": "american"}
american_s05_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s05", "accent": "american"}
american_s06_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s06", "accent": "american"}
american_s07_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s07", "accent": "american"}
american_s08_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "american_s08", "accent": "american"}
australian_s01_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "australian_s01", "accent": "australian"}
british_s01_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "british_s01", "accent": "british"}
indian_s01_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "indian_s01", "accent": "indian"}
indian_s02_418|three for a dime the young peddler cried|three for a dime the young peddler cried|{"speaker": "indian_s02", "accent": "indian"}
british_s02_148|those thistles bend in a high wind|those thistles bend in a high wind|{"speaker": "british_s02", "accent": "british"}
malayalam_s03_800|the rude laugh filled the empty room|the rude laugh filled the empty room|{"speaker": "malayalam_s03", "accent": "malayalam"}
american_s01_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s01", "accent": "american"}
australian_s01_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "australian_s01", "accent": "australian"}
british_s01_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "british_s01", "accent": "british"}
american_s02_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s02", "accent": "american"}
american_s04_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s04", "accent": "american"}
american_s06_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s06", "accent": "american"}
american_s03_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s03", "accent": "american"}
british_s02_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "british_s02", "accent": "british"}
indian_s01_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "indian_s01", "accent": "indian"}
welsh_s01_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "welsh_s01", "accent": "welsh"}
american_s08_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s08", "accent": "american"}
telugu_s01_028|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "telugu_s01", "accent": "telugu"}
american_s05_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s05", "accent": "american"}
malayalam_s02_028|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "malayalam_s02", "accent": "malayalam"}
bangla_s02_008|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "bangla_s02", "accent": "bangla"}
bangla_s02_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "bangla_s02", "accent": "bangla"}
odiya_s01_008|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "odiya_s01", "accent": "odiya"}
american_s07_009|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "american_s07", "accent": "american"}
telugu_s02_028|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "telugu_s02", "accent": "telugu"}
bangla_s01_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "bangla_s01", "accent": "bangla"}
telugu_s02_008|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "telugu_s02", "accent": "telugu"}
telugu_s02_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "telugu_s02", "accent": "telugu"}
malayalam_s02_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "malayalam_s02", "accent": "malayalam"}
telugu_s01_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "telugu_s01", "accent": "telugu"}
malayalam_s01_018|four hours of steady work faced us|four hours of steady work faced us|{"speaker": "malayalam_s01", "accent": "malayalam"}
australian_s01_398|smoke poured out of every crack|smoke poured out of every crack|{"speaker": "australian_s01", "accent": "australian"}
british_s02_607|sever the twine with a quick snip of the knife|sever the twine with a quick snip of the knife|{"speaker": "british_s02", "accent": "british"}
bangla_s01_570|where were they when the noise started|where were they when the noise started|{"speaker": "bangla_s01", "accent": "bangla"}
australian_s02_607|sever the twine with a quick snip of the knife|sever the twine with a quick snip of the knife|{"speaker": "australian_s02", "accent": "australian"}
american_s02_607|sever the twine with a quick snip of the knife|sever the twine with a quick snip of the knife|{"speaker": "american_s02", "accent": "american"}
australian_s01_607|sever the twine with a quick snip of the knife|sever the twine with a quick snip of the knife|{"speaker": "australian_s01", "accent": "australian"}
indian_s01_186|fairy tales should be fun to write|fairy tales should be fun to write|{"speaker": "indian_s01", "accent": "indian"}
american_s01_636|sit on the perch and tell the others what to do|sit on the perch and tell the others what to do|{"speaker": "american_s01", "accent": "american"}
indian_s02_607|sever the twine with a quick snip of the knife|sever the twine with a quick snip of the knife|{"speaker": "indian_s02", "accent": "indian"}
american_s02_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s02", "accent": "american"}
american_s08_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s08", "accent": "american"}
malayalam_s03_558|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "malayalam_s03", "accent": "malayalam"}
american_s07_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s07", "accent": "american"}
bangla_s01_550|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "bangla_s01", "accent": "bangla"}
bangla_s01_560|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "bangla_s01", "accent": "bangla"}
telugu_s02_561|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "telugu_s02", "accent": "telugu"}
american_s04_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s04", "accent": "american"}
american_s03_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s03", "accent": "american"}
american_s05_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s05", "accent": "american"}
american_s06_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s06", "accent": "american"}
odiya_s01_550|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "odiya_s01", "accent": "odiya"}
bangla_s02_542|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "bangla_s02", "accent": "bangla"}
bangla_s02_562|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "bangla_s02", "accent": "bangla"}
bangla_s01_540|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "bangla_s01", "accent": "bangla"}
malayalam_s02_558|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "malayalam_s02", "accent": "malayalam"}
malayalam_s02_548|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "malayalam_s02", "accent": "malayalam"}
malayalam_s03_548|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "malayalam_s03", "accent": "malayalam"}
american_s01_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "american_s01", "accent": "american"}
odiya_s01_540|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "odiya_s01", "accent": "odiya"}
australian_s01_187|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "australian_s01", "accent": "australian"}
telugu_s01_565|eight miles of woodland burned to waste|eight miles of woodland burned to waste|{"speaker": "telugu_s01", "accent": "telugu"}
american_s08_384|take two shares as a fair profit|take two shares as a fair profit|{"speaker": "american_s08", "accent": "american"}
malayalam_s03_821|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "malayalam_s03", "accent": "malayalam"}
american_s05_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "american_s05", "accent": "american"}
american_s06_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "american_s06", "accent": "american"}
american_s08_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "american_s08", "accent": "american"}
american_s02_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "american_s02", "accent": "american"}
american_s03_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "american_s03", "accent": "american"}
indian_s01_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "indian_s01", "accent": "indian"}
indian_s02_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "indian_s02", "accent": "indian"}
british_s01_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "british_s01", "accent": "british"}
malayalam_s03_811|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "malayalam_s03", "accent": "malayalam"}
australian_s01_284|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "australian_s01", "accent": "australian"}
malayalam_s03_831|nine men were hired to dig the ruins|nine men were hired to dig the ruins|{"speaker": "malayalam_s03", "accent": "malayalam"}
american_s04_341|nine rows of soldiers stood in a line|nine rows of soldiers stood in a line|{"speaker": "american_s04", "accent": "american"}
american_s06_341|nine rows of soldiers stood in a line|nine rows of soldiers stood in a line|{"speaker": "american_s06", "accent": "american"}
american_s02_341|nine rows of soldiers stood in a line|nine rows of soldiers stood in a line|{"speaker": "american_s02", "accent": "american"}
american_s03_341|nine rows of soldiers stood in a line|nine rows of soldiers stood in a line|{"speaker": "american_s03", "accent": "american"}
american_s08_341|nine rows of soldiers stood in a line|nine rows of soldiers stood in a line|{"speaker": "american_s08", "accent": "american"}
